ID,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,Salary
1066680,m,12-09-1991,86.4,cbse,2009,86.2,cbse,1906,2,B.Tech/B.E.,electronics and communication engineering,,1906,1,West Bengal,2014,720,630,750,0.338786347,485,
407672,m,30-09-1990,,0,2008,77,0,3801,2,B.Tech/B.E.,information technology,,3801,0,Karnataka,2012,385,515,465,0.525922584,415,
205633,m,25-05-1988,81.7,hse,2005,75.8,chse,5508,2,B.Tech/B.E.,computer engineering,78.7,5508,0,Orissa,2011,475,245,485,0.735795709,475,500000
924541,f,25-02-1992,86,cbse,2010,89,cbse,429,2,B.Tech/B.E.,computer science & engineering,,429,0,Uttar Pradesh,2014,520,570,620,0.953899775,425,210000
512353,m,25-10-1991,66.15,state board,2009,54,state board,3603,2,B.Tech/B.E.,computer science & engineering,,3603,0,Maharashtra,2013,360,495,280,0.793580615,495,400000
1136577,m,22-05-1991,79.29,icse,2009,68.67,cbse,5298,2,B.Tech/B.E.,computer science & engineering,76,5298,0,Tamil Nadu,2013,545,505,595,0.356536488,555,360000
781327,m,21-11-1987,60,state board,2006,50,state board,11013,2,B.Tech/B.E.,computer science & engineering,,11013,0,Orissa,2013,240,340,430,0.143256541,295,
764522,f,14-01-1992,58.4,cbse,2008,64.8,cbse,85,2,MCA,computer application,,85,0,Haryana,2014,440,415,554,0.793580615,495,120000
203323,m,03-11-1986,61,0,2003,59,0,3716,2,B.Tech/B.E.,information technology,63,3716,1,Karnataka,2011,355,565,495,0.930370607,565,
267354,m,05-08-1988,50,board of school education harayana,2008,64,state board of technical education harayana,7564,2,B.Tech/B.E.,electronics and communication engineering,70,7564,0,Haryana,2011,345,365,445,0.538386893,-1,120000
839626,f,10-04-1991,67.06,state board,2008,70.67,state board,13271,2,B.Tech/B.E.,computer engineering,55.5,13271,1,Maharashtra,2012,440,440,385,0.144789889,435,120000
1169332,f,09-03-1990,67,cbse,2008,61,cbse,16664,2,B.Tech/B.E.,computer science & engineering,75,16664,0,Chhattisgarh,2012,370,410,320,0.488347977,405,120000
669692,m,04-05-1992,,state board,2009,71,state board,9699,2,B.Tech/B.E.,information technology,61,9699,1,Rajasthan,2013,180,365,310,0.074546265,255,600000
48029,m,20-12-1988,86.17,rbse,2006,78.6,cbse,2857,1,B.Tech/B.E.,computer engineering,73.34,2857,1,Rajasthan,2010,505,495,695,0.987207086,645,500000
1268344,m,10-03-1990,78,icse,2009,75,cbse,7765,2,B.Tech/B.E.,mechanical engineering,73,7765,0,Uttar Pradesh,2014,630,555,570,0.066960707,-1,240000
1274612,m,17-09-1989,71.8,cbse,2007,68.2,cbse,267,2,B.Tech/B.E.,electronics and communication engineering,,267,0,Punjab,2012,615,590,585,-1,485,200000
230553,m,01-05-1992,66.66,u p board,2005,80.4,u p board,64,2,B.Tech/B.E.,information technology,,64,0,Uttar Pradesh,2011,525,505,575,0.901489571,545,80000
1259836,m,26-02-1992,85,state board,2009,81,state board,1906,2,B.Tech/B.E.,computer science & engineering,,1906,1,West Bengal,2013,455,530,440,0.622642916,455,
634352,f,04-04-1990,,cbse,2008,74,cbse,55,2,B.Tech/B.E.,information technology,71,55,0,Uttar Pradesh,2013,615,595,720,0.987207086,645,450000
977034,m,18-06-1990,61.69,state board,2008,60.66,state board,285,1,MCA,computer application,,285,0,Punjab,2014,440,605,520,0.356536488,575,240000
668869,m,01-09-1991,85,cbse,2009,82,cbse,6566,2,B.Tech/B.E.,electronics and communication engineering,81,6566,1,Karnataka,2013,730,525,690,0.694479328,465,325000
915600,m,26-06-1991,80.13,state board,2008,69.17,state board,5696,2,B.Tech/B.E.,computer science and technology,60.34,5696,0,Maharashtra,2012,590,440,385,0.996744487,475,215000
628753,m,22-12-1991,82.5,cbse,2009,85,state board,11352,2,B.Tech/B.E.,information technology,75,11352,1,Tamil Nadu,2013,545,485,530,0.600057182,435,315000
1036215,m,03-05-1992,63.5,state board,2010,65.72,state board,5081,2,B.Tech/B.E.,computer science & engineering,60,5081,0,Andhra Pradesh,2014,430,460,320,0.23780284,355,220000
955352,m,08-12-1991,64,cbse,2010,62,cbse,17244,2,B.Tech/B.E.,computer science & engineering,75,17244,0,Uttar Pradesh,2014,345,470,365,0.356536488,435,180000
449417,m,01-01-1988,76,"bse, odisha",2005,61,chse,2088,2,MCA,computer application,85,2088,0,Orissa,2012,464,475,575,0.960903087,595,240000
1038837,m,21-09-1990,73,cbse,2008,76,cbse,10930,2,B.Tech/B.E.,information technology,74,10930,1,West Bengal,2013,465,570,415,0.356536488,575,60000
309954,m,08-12-1991,91,rajasthan board of secondary education,2008,83,rajasthan board of secondary education,5050,2,B.Tech/B.E.,computer engineering,,5050,0,Rajasthan,2012,475,495,565,0.930370607,565,
54289,m,27-09-1986,65,cbse,2007,47.6,cbse,1753,2,MCA,computer application,,1753,0,Karnataka,2013,415,365,475,0.600057182,435,180000
615097,m,14-11-1991,70.16,state board,2007,66.8,state board,272,2,MCA,computer application,69.7,272,0,Punjab,2014,275,485,530,0.486747008,475,
96613,m,07-10-1988,,cbse,2005,80.8,cbse,67,2,B.Tech/B.E.,electronics and communication engineering,72.45,67,0,Uttar Pradesh,2010,535,415,635,0.960603252,-1,370000
542950,m,21-08-1991,66.5,state board,2008,66.4,state board,172,2,B.Tech/B.E.,electrical engineering,66,172,0,Uttar Pradesh,2013,500,560,560,0.376059587,-1,145000
781196,m,09-02-1991,78.4,cbse,2009,58.4,cbse,11013,2,B.Tech/B.E.,automobile/automotive engineering,76.5,11013,0,Orissa,2013,545,535,605,0.986525019,-1,100000
38441,m,19-11-1984,62,up board,2002,62,up board,395,2,MCA,computer application,72.02,395,0,Uttar Pradesh,2010,505,445,575,0.864685413,525,300000
1269557,m,30-07-1990,52.93,state board,2008,64,state board,4793,2,B.Tech/B.E.,information technology,73,4793,0,Maharashtra,2014,325,375,370,0.911395278,495,240000
512864,m,10-09-1990,82,council for indian school certificate examination,2008,81,council for indian school certificate examination,77,2,B.Tech/B.E.,electronics and electrical engineering,64,77,0,Uttar Pradesh,2012,625,585,530,0.376059587,-1,500000
390353,m,14-04-1990,78,kea,2008,69,kea,3717,2,B.Tech/B.E.,electronics and communication engineering,75,3717,1,Karnataka,2012,355,485,425,0.0587928,325,300000
1230200,m,12-07-1990,65,state board,2008,65.4,state board,1887,1,B.Tech/B.E.,computer science & engineering,67.72,1887,0,Uttar Pradesh,2014,490,615,725,0.744758354,595,300000
206976,m,02-03-1990,70.2,0,2007,68.4,0,49,1,B.Tech/B.E.,electronics and electrical engineering,60.4,49,0,Uttar Pradesh,2011,544,415,504,0.0587928,335,
908780,f,14-10-1993,93,state board,2010,89,state board,8895,2,B.Tech/B.E.,information technology,83,8895,0,Tamil Nadu,2014,345,495,325,0.622642916,445,150000
982729,m,24-02-1993,53.4,cbse,2010,66,cbse,387,2,B.Tech/B.E.,information technology,,387,0,Uttar Pradesh,2014,300,520,330,0.744758354,335,240000
385303,m,02-07-1990,,0,2008,78.6,0,100,2,B.Tech/B.E.,electronics and communication engineering,64.45,100,0,Haryana,2012,525,605,595,0.376059587,-1,145000
355322,m,03-06-1991,71.5,uttar pradesh,2007,60,cbse,81,2,B.Tech/B.E.,computer science & engineering,68.74,81,0,Uttar Pradesh,2012,415,355,455,0.24545566,335,240000
730991,m,07-10-1990,81.5,state board,2009,80.2,state board,11160,2,B.Tech/B.E.,computer science & engineering,82,11160,1,West Bengal,2013,430,510,415,0.3423149,365,310000
326762,m,26-07-1991,63,cbse,2008,66,cbse,3879,2,B.Tech/B.E.,computer engineering,65.55,3879,0,Madhya Pradesh,2012,435,465,465,0.704090412,465,450000
125654,m,20-05-1987,74,"board of secondary education,andhara pradesh",2004,86.1,"board of intermediate education,hyderabad",3694,2,MCA,computer application,76,3694,0,Andhra Pradesh,2010,405,385,585,0.635978756,445,380000
984121,f,20-03-1992,91.6,state board,2010,86.5,state board,2952,2,B.Tech/B.E.,electronics and communication engineering,80.2,2952,1,Karnataka,2014,465,510,570,0.783303537,445,300000
744799,m,01-06-1992,87.5,state board,2009,89.9,state board,13899,2,B.Tech/B.E.,computer engineering,73.21,13899,0,Andhra Pradesh,2013,500,415,485,0.704090412,465,300000
1048133,m,22-07-1992,78.5,state board,2009,83,state board,16171,2,B.Tech/B.E.,electronics and communication engineering,77.72,16171,0,Telangana,2013,350,470,405,0.20739217,355,200000
1094787,m,09-02-1992,79.5,state board,2009,63.2,state board,7814,2,B.Tech/B.E.,electronics and communication engineering,63.3,7814,0,Orissa,2014,615,425,440,0.493596387,405,170000
661812,f,23-09-1991,71,wbbse,2009,68,wbchse,13040,2,B.Tech/B.E.,computer science & engineering,81.4,13040,1,West Bengal,2013,345,570,220,0.843123727,515,
818701,m,15-12-1989,,state board,2006,61,state board,9508,2,B.Tech/B.E.,computer science & engineering,,9508,0,Uttar Pradesh,2012,640,500,545,0.953899775,464,335000
1063653,m,14-11-1991,74,cbse,2009,63,cbse,14278,2,B.Tech/B.E.,computer science & engineering,72,14278,0,Haryana,2013,490,530,370,0.04099931,405,110000
189121,m,04-03-1990,91,matriculation board,2007,90.91,hisher seconadry examination(state board),4042,2,B.Tech/B.E.,electronics and communication engineering,83.2,4042,0,Tamil Nadu,2011,565,515,575,0.229481755,325,450000
640037,f,22-06-1991,89.44,state board,2009,75.33,state board,4569,2,B.Tech/B.E.,computer science & engineering,68.69,4569,0,Karnataka,2013,500,425,385,0.704090412,465,200000
906284,m,26-07-1993,76,cbse,2010,64,cbse,10971,2,B.Tech/B.E.,computer science & engineering,67,10971,0,Uttar Pradesh,2014,555,450,470,0.486747008,465,310000
330544,m,25-02-1991,77,state board,2008,75,state board,9837,2,B.Tech/B.E.,mechanical engineering,65.42,9837,1,Telangana,2012,425,415,375,0.068445751,-1,200000
643957,m,22-12-1990,63,cbse,2009,74,cbse,462,2,B.Tech/B.E.,information science engineering,57,462,1,Karnataka,2013,545,500,455,0.600057182,435,240000
335906,f,24-05-1991,90.33,board of secondary education - andhra pradesh,2008,88.6,"board fo intermediate education, ap",1141,2,B.Tech/B.E.,computer engineering,69.55,1141,0,Andhra Pradesh,2012,725,505,415,0.704090412,465,300000
657409,m,08-01-1992,76.5,state board,2009,84,state board,11447,2,B.Tech/B.E.,mechanical engineering,87.2,11447,0,Tamil Nadu,2013,380,440,385,0.414337426,-1,
271549,m,26-02-1989,,mp,2007,60,cbse,1618,2,B.Tech/B.E.,computer engineering,64.3,1618,0,Madhya Pradesh,2011,645,465,575,0.525922584,415,330000
964017,m,14-02-1993,78,state board,2010,87.1,state board,1428,2,B.Tech/B.E.,information technology,65,1428,1,Telangana,2014,430,570,615,0.744758354,525,140000
1066577,m,18-10-1992,89.5,state board,2010,73.4,state board,1906,2,B.Tech/B.E.,computer science & engineering,70.06,1906,1,West Bengal,2014,700,505,585,0.486747008,485,320000
87319,m,27-10-1986,56.4,0,2006,72,0,403,2,B.Tech/B.E.,mechanical engineering,64,403,0,Madhya Pradesh,2010,305,395,455,0.654107475,165,1210000
962441,m,10-08-1992,88.67,state board,2009,87.69,state board,436,1,B.Tech/B.E.,chemical engineering,79.65,436,0,Uttarakhand,2014,545,645,735,0.879915203,-1,700000
335296,m,17-08-1989,58.33,up,2007,73.33,up,198,2,B.Tech/B.E.,computer science & engineering,71.97,198,0,Uttar Pradesh,2012,395,325,585,0.744758354,395,120000
833277,m,28-02-1991,64,cbse,2009,66,cbse,382,2,B.Tech/B.E.,information technology,69.2,382,0,Uttar Pradesh,2014,465,390,355,0.356536488,355,200000
239756,m,10-04-1989,85.92,karnataka,2007,79.87,karnataka state,1866,2,B.Tech/B.E.,computer engineering,71.07,1866,1,Karnataka,2011,495,565,454,0.968237496,605,315000
555652,m,14-11-1990,88.8,cbse,2009,84.67,state board,1866,2,B.Tech/B.E.,electronics and electrical engineering,70,1866,1,Karnataka,2013,675,605,620,0.985461394,515,305000
543832,m,01-08-1992,73.8,cbse,2008,75.4,cbse,55,2,B.Tech/B.E.,electronics and communication engineering,68.56,55,0,Uttar Pradesh,2013,405,485,680,0.376059587,365,
244546,m,03-03-1989,71,cbse,2007,58,cbse,3427,2,B.Tech/B.E.,electronics and communication engineering,70.1,3427,0,Orissa,2011,525,465,645,0.538386893,385,410000
610635,f,24-01-1991,,cbse,2008,74,cbse,7700,1,B.Tech/B.E.,computer science & engineering,76.24,7700,1,Delhi,2013,485,525,620,0.953899775,535,
1076441,m,20-06-1991,88.1,state board,2009,91.1,state board,15854,2,B.Tech/B.E.,electronics and communication engineering,,15854,1,Telangana,2013,535,435,500,0.20739217,305,315000
754392,m,18-02-1992,76,state board,2009,72,state board,8888,2,B.Tech/B.E.,computer science & engineering,63.2,8888,0,Tamil Nadu,2013,510,355,340,0.123016732,285,120000
330813,f,31-05-1990,82.3,ssc,2007,96.6,intermediate board,9557,2,B.Tech/B.E.,electronics and communication engineering,83,9557,1,Telangana,2012,445,565,615,0.694479328,-1,310000
1072316,m,15-10-1990,78,cbse,2009,68,cbse,1388,1,B.Tech/B.E.,electronics and electrical engineering,72.3,1388,0,Haryana,2013,510,590,510,0.783303537,395,375000
1242113,m,03-06-1992,66.7,state board,2009,54.2,state board,6545,2,B.Tech/B.E.,instrumentation engineering,66.93,6545,0,Uttar Pradesh,2014,430,470,500,0.299597296,-1,240000
1084099,m,19-12-1990,72,state board,2008,60,state board,8946,2,B.Tech/B.E.,computer science & engineering,63,8946,1,Telangana,2013,440,300,285,-1,-1,295000
435378,m,08-04-1990,82,0,2008,62.3,0,11982,2,B.Tech/B.E.,mechanical engineering,61,11982,0,Orissa,2012,565,475,464,0.068445751,-1,360000
108999,f,26-02-1987,,kseeb,2006,73,"directorate of technical education,banglore",1279,2,B.Tech/B.E.,electronics and communication engineering,61.8,1279,0,Karnataka,2010,445,465,565,0.376059587,375,260000
982410,m,05-07-1992,58,state board,2009,62,state board,184,2,B.Tech/B.E.,computer science & engineering,70.68,184,0,Uttar Pradesh,2014,405,395,390,0.486747008,495,
1251678,m,23-12-1990,77,cbse,2007,78,cbse,6884,2,B.Tech/B.E.,computer science & engineering,75.03,6884,0,West Bengal,2013,500,545,665,0.842248322,485,100000
920550,f,10-08-1993,75.6,cbse,2010,83.2,cbse,55,2,B.Tech/B.E.,computer science & engineering,,55,0,Uttar Pradesh,2014,475,460,530,0.744758354,405,160000
134985,m,23-10-1983,75,wbbse,2002,61.7,wbchse,1424,2,MCA,computer application,79,1424,0,West Bengal,2010,365,365,425,0.377551419,375,310000
1062180,m,28-06-1991,,cbse,2009,66.8,cbse,13801,2,B.Tech/B.E.,electronics and communication engineering,68.9,13801,0,Madhya Pradesh,2013,535,505,510,0.338786347,-1,80000
1219078,m,17-07-1991,92.2,icse,2009,75.6,cbse,11154,2,B.Tech/B.E.,computer science & engineering,81.5,11154,1,West Bengal,2014,685,565,645,0.953899775,595,325000
333542,f,12-11-1990,84.5,ssc,2008,94.1,board of intermediate education,11168,2,B.Tech/B.E.,information technology,70.95,11168,1,Telangana,2012,485,445,575,0.413838256,385,400000
619605,m,28-06-1991,89.4,cbse,2009,75.6,state board,275,2,B.Tech/B.E.,mechanical engineering,82.53,275,1,Karnataka,2013,590,610,635,0.840840969,-1,475000
921298,m,28-05-1993,76.2,cbse,2010,88,state board,1577,2,B.Tech/B.E.,information technology,69.8,1577,0,Tamil Nadu,2014,450,510,620,0.744758354,315,180000
343541,f,02-02-1991,85.33,cbse,2008,78.2,cbse,11368,2,B.Tech/B.E.,electronics and communication engineering,77.25,11368,0,Uttar Pradesh,2012,605,404,454,0.824666401,-1,250000
1284293,m,20-06-1992,72,cbse,2010,64,cbse,17782,2,MCA,computer application,72,17782,0,Uttarakhand,2015,490,410,485,0.450876584,395,
53838,m,12-06-1987,45.6,bse,2007,73.6,chse,1268,2,MCA,computer application,85.2,1268,0,Orissa,2010,365,385,454,0.765673581,485,100000
1261333,m,16-05-1992,86.5,state board,2010,82.5,state board,473,2,B.Tech/B.E.,information technology,61.86,473,1,Maharashtra,2014,490,395,485,0.911395278,425,
52923,m,16-08-1989,,ssc,2006,68.83,hsc,472,2,B.Tech/B.E.,information technology,,472,1,Maharashtra,2010,525,575,655,0.901489571,545,465000
332800,m,10-07-1990,69.4,up board,2007,63,up board,7600,2,B.Tech/B.E.,electronics and communication engineering,61,7600,0,Uttar Pradesh,2013,375,465,265,0.023312168,-1,200000
1190691,m,16-03-1993,64,cbse,2010,61,icse,18409,2,B.Tech/B.E.,computer science and technology,63,18409,0,Uttarakhand,2014,455,505,465,0.884122512,535,360000
196482,m,16-09-1989,85,0,2006,73.8,0,115,2,B.Tech/B.E.,electronics and communication engineering,77,115,0,Punjab,2011,505,485,615,0.824666401,405,400000
110863,m,04-08-1988,85.6,ssc,2006,90.6,board of intermediate,964,2,B.Tech/B.E.,electronics and communication engineering,68.4,964,1,Telangana,2010,395,425,575,0.229481755,435,720000
79007,m,26-08-1987,80.6,icse,2005,91,icse,137,2,B.Tech/B.E.,information technology,73.06,137,0,Uttar Pradesh,2010,485,505,375,0.635978756,445,505000
263901,f,16-01-1990,78,0,2007,68,0,2513,2,B.Tech/B.E.,computer engineering,68,2513,0,Rajasthan,2011,365,515,645,0.979521744,625,380000
552730,f,07-03-1992,,cbse,2009,72.2,cbse,7542,2,B.Tech/B.E.,computer science & engineering,69.78,7542,1,Delhi,2013,370,500,455,0.704090412,465,375000
111273,m,05-11-1988,89.56,gseb,2006,85,gsheb,992,2,B.Tech/B.E.,electronics and communication engineering,67.45,992,1,Gujarat,2010,485,315,545,0.694479328,345,290000
604198,m,09-03-1990,83.2,cbse,2008,72.3,cbse,28,2,B.Tech/B.E.,computer science & engineering,68,28,1,Delhi,2013,545,620,515,0.960903087,595,350000
30122,m,20-07-1985,51,up board,2004,48,up board,350,2,MCA,computer application,,350,0,Uttar Pradesh,2010,275,365,395,0.525922584,415,100000
920332,m,03-09-1991,60.7,state board,2008,65.66,state board,55,2,MCA,computer application,77.7,55,0,Uttar Pradesh,2014,545,535,470,-1,-1,230000
282000,m,23-03-1989,76,uttar pradesh board,2006,75,uttar pradesh board,4450,2,B.Tech/B.E.,information technology,65.48,4450,0,Uttar Pradesh,2011,375,535,575,0.600057182,435,315000
1083018,m,25-08-1992,91,cbse,2010,91.2,cbse,2921,2,B.Tech/B.E.,electronics and communication engineering,86,2921,0,West Bengal,2014,675,655,585,0.783303537,485,615000
1069526,m,12-04-1991,90.6,state board,2009,79.3,state board,5752,2,B.Tech/B.E.,computer science & engineering,65.7,5752,1,Telangana,2013,430,350,475,0.622642916,515,200000
810018,m,21-09-1992,63,icse,2010,62,cbse,350,2,B.Tech/B.E.,information technology,62.44,350,0,Uttar Pradesh,2014,380,510,515,0.635978756,445,180000
1262987,m,04-12-1992,,state board,2010,63,state board,15807,2,B.Tech/B.E.,mechanical engineering,63,15807,1,Telangana,2014,300,435,390,0.032937018,-1,260000
53921,m,25-03-1988,75.4,cbse,2004,68.2,cbse,83,2,B.Tech/B.E.,information technology,80,83,0,Uttar Pradesh,2010,555,535,655,0.916869961,555,1110000
281866,m,25-06-1988,81.8,cbse,2006,71.8,cbse,4450,2,B.Tech/B.E.,electronics and electrical engineering,64.5,4450,0,Uttar Pradesh,2011,415,525,625,0.824666401,-1,
1098849,m,05-11-1991,75.85,state board,2009,77.2,state board,992,2,B.Tech/B.E.,information technology,80,992,1,Gujarat,2013,525,530,520,0.979521744,625,180000
827639,m,01-02-1993,91.6,cbse,2010,85.6,cbse,47,1,B.Tech/B.E.,electronics and communication engineering,72.7,47,1,Delhi,2014,590,575,635,0.649389715,525,
133296,m,20-12-1988,66,rbse,2006,55,rbse,4948,2,B.Tech/B.E.,computer engineering,,4948,1,Rajasthan,2010,405,585,415,0.600057182,435,145000
878844,m,18-03-1993,50,cbse,2010,57,cbse,9738,2,B.Tech/B.E.,information technology,65.06,9738,0,Uttar Pradesh,2014,395,425,425,0.744758354,385,120000
295362,f,25-07-1989,89.2,matriculation,2007,86.25,state board,1034,2,B.Tech/B.E.,electronics and communication engineering,76,1034,0,Tamil Nadu,2011,465,595,575,0.376059587,395,180000
811394,m,22-04-1990,,cbse,2009,76,cbse,47,1,B.Tech/B.E.,electronics and communication engineering,72.5,47,1,Delhi,2014,615,415,680,0.338786347,425,325000
879261,m,24-03-1987,76.66,state board,2004,64.33,state board,3496,2,B.Tech/B.E.,mechanical engineering,72.02,3496,0,Maharashtra,2012,615,525,430,0.328746379,-1,95000
530147,m,07-11-1993,90.4,cbse,2009,84.6,cbse,11759,2,B.Tech/B.E.,mechanical engineering,83.5,11759,0,Uttarakhand,2013,430,375,530,0.986525019,-1,205000
815714,f,09-10-1991,90.8,cbse,2009,82.6,cbse,5717,2,B.Tech/B.E.,computer science & engineering,64.66,5717,0,Maharashtra,2013,485,535,590,0.911395278,535,280000
1290109,m,04-11-1990,82.67,state board,2008,74.92,state board,12737,2,B.Tech/B.E.,computer engineering,61.36,12737,1,Rajasthan,2014,580,470,425,0.911395278,535,215000
729532,m,11-08-1991,94.16,state board,2009,95.5,state board,11000,2,B.Tech/B.E.,electronics and communication engineering,83.62,11000,1,Telangana,2013,380,475,575,0.538386893,375,
1058583,m,31-03-1990,74.6,state board,2007,81.6,state board,3720,2,B.Tech/B.E.,computer science & engineering,67.8,3720,0,Madhya Pradesh,2011,440,425,415,0.356536488,465,350000
390616,m,07-10-1990,61.73,ssc,2008,60,hsc,7495,2,B.Tech/B.E.,computer engineering,,7495,0,Maharashtra,2012,455,395,385,0.308400583,355,190000
283428,m,05-04-1990,78,cbse,2007,63,cbse,374,2,B.Tech/B.E.,information technology,68.1,374,0,Uttar Pradesh,2011,454,535,464,0.765673581,485,520000
64844,m,10-07-1987,,karnataka secondary education board,2005,64,pre-university board,1109,2,B.Tech/B.E.,electronics and communication engineering,53,1109,1,Karnataka,2010,445,455,405,0.538386893,325,335000
359993,m,20-05-1990,72,state board,2007,60,state board,1245,2,B.Tech/B.E.,computer engineering,64,1245,1,Tamil Nadu,2012,345,375,315,0.3423149,365,220000
82837,m,15-03-1990,85.6,cbse,2006,79.4,cbse,580,1,B.Tech/B.E.,electronics & instrumentation eng,67.23,580,0,Uttar Pradesh,2011,525,525,565,0.538386893,-1,450000
239715,m,01-12-1989,89.4,cbse,2006,68,cbse,1866,2,B.Tech/B.E.,electronics and communication engineering,68.3,1866,1,Karnataka,2011,635,525,525,0.694479328,385,445000
831320,m,20-05-1993,87.7,state board,2010,95.2,state board,9748,2,B.Tech/B.E.,information technology,69.96,9748,1,Telangana,2014,450,555,445,0.744758354,455,200000
601131,m,25-03-1991,88,cbse,2008,78,cbse,272,2,B.Tech/B.E.,electronics and communication engineering,87.9,272,0,Punjab,2013,545,605,575,0.824666401,535,420000
1199988,m,17-06-1993,80.8,state board,2010,81.5,state board,12867,2,B.Tech/B.E.,computer science & engineering,74,12867,0,Andhra Pradesh,2014,560,455,405,0.23780284,505,
324330,m,22-01-1990,77.6,maharastra board,2008,59,maharashtra board,993,2,B.Tech/B.E.,information technology,58.66,993,1,Maharashtra,2012,405,585,334,0.308400583,355,120000
1112865,m,04-09-1992,,state board,2010,79,state board,14697,2,B.Tech/B.E.,electronics & telecommunications,70,14697,0,Maharashtra,2014,440,540,535,0.756180114,465,
305041,f,18-01-1990,89.8,cbse,2007,83.8,cbse,5232,2,B.Tech/B.E.,computer engineering,,5232,0,Haryana,2011,535,455,525,0.843123727,515,480000
1062173,m,29-06-1992,80,state board,2009,89,state board,4557,2,B.Tech/B.E.,computer science & engineering,62,4557,1,Telangana,2013,325,530,405,0.356536488,275,145000
327623,m,27-09-1990,84,cbse,2008,83,cbse,7542,2,B.Tech/B.E.,information technology,74.5,7542,1,Delhi,2012,725,465,555,0.600057182,435,450000
360992,f,24-10-1990,91,state board,2008,80,state board,2342,2,B.Tech/B.E.,electronics and communication engineering,76,2342,1,Tamil Nadu,2012,535,475,415,0.538386893,-1,235000
1044759,m,05-01-1992,89.6,cbse,2010,83.8,cbse,13128,2,B.Tech/B.E.,electronics and communication engineering,76.4,13128,1,Delhi,2014,650,565,595,0.338786347,505,330000
454921,m,30-10-1988,82,0,2008,60,0,272,2,B.Tech/B.E.,information technology,80,272,0,Punjab,2012,585,525,475,0.735795709,475,320000
283164,m,15-06-1989,70,icse,2006,73.8,isc,4234,2,B.Tech/B.E.,computer engineering,70.13,4234,0,Uttar Pradesh,2011,825,505,485,0.884122512,535,715000
1238094,m,09-09-1990,,state board,2007,55,state board,272,2,M.Tech./M.E.,computer science & engineering,88,272,0,Punjab,2015,395,540,535,0.992259189,665,145000
702081,m,20-09-1990,83,cbse,2008,81,cbse,2027,2,B.Tech/B.E.,electronics and electrical engineering,79.2,2027,0,Haryana,2012,440,655,705,0.837620726,285,
470741,f,06-08-1990,67.8,0,2008,65.2,0,12184,2,B.Tech/B.E.,computer engineering,72.18,12184,0,Madhya Pradesh,2012,525,305,405,0.24545566,335,180000
